####Expressed areas of accelerated element-associated genes in the brain. Area X = area X of the striatum; HVC = letter based name; RA = robust nucleus of the arcopallium; and, + = expression of gene.																	
The lowest and highest p-values (4th and 5th columns) are from the phyloP results of comparing each VL species to 9 non-VL species.																	
Chromosome positions and ENSMEBL ID are according to the zebra finch genome																	
Chromosome	Window size	Start	End	Lowest Pval	Highest Pval	Associated Gene	Distance to gene	Location	Gene Description	Gene Symbol	In songbird brain	In song nuclei	Singing regulated	RA specialized birds and human LMC	Area X specialized	HVC specialized	Differential between song nuclei
2	50bp	103398302	103398362	0.0023	0.03127	ENSTGUG00000009724	0	intron	Piezo-type mechanosensitive ion channel component 1	Piezo1							
9	100bp	20131993	20132093	0.00125	0.03098	ENSTGUG00000010736	1047	3'flanking	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	PIK3CA	+	+					
7	50bp	19610620	19610669	0.00086	0.02179	ENSTGUG00000009607	0	intron	1-phosphatidylinositol 3-phosphate 5-kinase	PIKFYVE	+	+					
15	100bp	2654548	2654667	0.00071	0.0327	ENSTGUG00000005473	0	intron	Membrane-associated phosphatidylinositol transfer protein 2	PITPNM2	+	+					+
1	100bp	4146518	4146594	0.0001	0.01184	ENSTGUG00000005745	0	intron	Homeobox protein PKNOX1	PKNOX1							
1	50bp	4142525	4142574	0.00818	0.03936	ENSTGUG00000005745	3748	5'flanking	Homeobox protein PKNOX1	PKNOX1							
Z	50bp	43712208	43712258	0.01726	0.03707	ENSTGUG00000002227	0	CDS	PI-PLC X domain-containing protein 3	PLCXD3	+	+			+	+	
5	50bp	11280015	11280092	0.00298	0.02237	ENSTGUG00000008557	0	intron	Pleckstrin homology domain-containing family A member 7	PLEKHA7	+	+					+
3	100bp	29509858	29509985	0.00007	0.03422	ENSTGUG00000007589	0	intron	Centrosomal protein kizuna	PLK1S1							
3	50bp	29279422	29279469	0.00001	0.04207	ENSTGUG00000007589	0	intron	Centrosomal protein kizuna	PLK1S1							
3	50bp	29509868	29509889	0.00071	0.01728	ENSTGUG00000007589	0	intron	Centrosomal protein kizuna	PLK1S1							
4	50bp	7281737	7281787	0.00081	0.04969	ENSTGUG00000002083	0	CDS,intron	Serine/threonine-protein kinase PLK4	PLK4	+						
1A	100bp	1500686	1500770	0.00026	0.04795	ENSTGUG00000001966	0	intron	Plexin-A4	Plxna4	+	+				+	+
4	100bp	22232507	22232627	0.00037	0.01257	ENSTGUG00000003795	0	intron	Inorganic pyrophosphatase 2, mitochondrial	PPA2	+	+	+				
4	50bp	53349872	53349922	0.00157	0.03303	ENSTGUG00000009487	0	CDS	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha	PPARGC1A	+	+					+
5	50bp	56681882	56681938	0.00047	0.02112	ENSTGUG00000012997	0	intron	Protein phosphatase 1A	PPM1A	+	+					+
5	50bp	52058055	52058115	0.00286	0.03874	ENSTGUG00000012883	4840	5'flanking	Apoptosis-stimulating of p53 protein 1	Ppp1r13b	+	+					+
6	50bp	30365959	30366008	0.00187	0.04393	ENSTGUG00000011115	7003	5'flanking	Thioredoxin-dependent peroxide reductase, mitochondrial	PRDX3	+	+					
6	50bp	4072413	4072462	0.00001	0.01257	ENSTGUG00000005123	0	intron	cGMP-dependent protein kinase 1	PRKG1	+	+			+		
Z	100bp	41310380	41310480	0.0001	0.02874	ENSTGUG00000001979	0	CDS	Prolactin receptor	PRLR							
1	100bp	100775785	100775885	0.00663	0.04705	ENSTGUG00000013492	0	CDS	Vitamin K-dependent protein S	PROS1	+	+					+
1	50bp	100775825	100775875	0.00626	0.03179	ENSTGUG00000013492	0	CDS	Vitamin K-dependent protein S	PROS1	+	+					+
14	50bp	15046671	15046721	0.00051	0.04052	ENSTGUG00000018409	8152	5'flanking	Parvalbumin, thymic CPV3	PRVU							
3	50bp	107904795	107904845	0.00125	0.01058	ENSTGUG00000013208	0	intron	Patched domain-containing protein 4	Ptchd4							
12	100bp	13711413	13711532	0.0004	0.04444	ENSTGUG00000009276	0	intron	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	+	+	+				+
12	100bp	13732893	13732990	0.00001	0.01256	ENSTGUG00000009276	0	intron	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	+	+	+				+
12	50bp	13662468	13662518	0.00555	0.04109	ENSTGUG00000009276	0	intron	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	+	+	+				+
20	100bp	3752101	3752201	0.00001	0.04525	ENSTGUG00000004328	0	intron	Receptor-type tyrosine-protein phosphatase T	PTPRT	+	+					+
20	50bp	3715899	3715950	0.00188	0.04546	ENSTGUG00000004328	0	intron	Receptor-type tyrosine-protein phosphatase T	PTPRT	+	+					+
20	50bp	3752130	3752166	0.00002	0.03589	ENSTGUG00000004328	0	intron	Receptor-type tyrosine-protein phosphatase T	PTPRT	+	+					+
9	50bp	4514627	4514673	0.00316	0.02812	ENSTGUG00000006048	0	CDS,intron	Pituitary tumor-transforming gene 1 protein-interacting protein	Pttg1ip	+	+					
8	100bp	18733886	18733994	0.00579	0.03916	ENSTGUG00000008233	0	intron	DNA repair and recombination protein RAD54-like (Fragment)	RAD54L	+	+					+
1A	50bp	66014468	66014518	0.0011	0.03514	ENSTGUG00000012234	5951	5'flanking	Ras association domain-containing protein 8	RASSF8	+	+					
14	50bp	4496456	4496504	0.00019	0.04885	ENSTGUG00000004562	0	intron	RNA binding protein fox-1 homolog 1	RBFOX1					+		
15	50bp	10058964	10059024	0.0001	0.03276	ENSTGUG00000009017	8346	5'flanking	Probable RNA-binding protein 19	RBM19	+						
1A	100bp	26235664	26235775	0.00001	0.04119	ENSTGUG00000005414	0	intron	UPF0532 protein C7orf60 homolog	RCJMB04_20b4							
2	100bp	54451908	54452005	0.00117	0.02999	ENSTGUG00000003139	0	intron	Raftlin	RFTN1	+	+				+	
8_random	100bp	4589135	4589241	0.00046	0.03035	ENSTGUG00000017417	0	intron	E3 ubiquitin-protein ligase RFWD2	Rfwd2	+	+					
18	50bp	3656697	3656747	0.00036	0.03522	ENSTGUG00000004834	0	intron	Rhomboid-related protein 3	Rhbdl3							
3	50bp	108872752	108872802	0.00183	0.03241	ENSTGUG00000013249	0	intron	Runt-related transcription factor 2	Runx2	+	+					
2	100bp	142695341	142695441	0.01243	0.03928	ENSTGUG00000012339	9755	3'flanking	Sterile alpha motif domain-containing protein 12	Samd12	+	+	+				+
2	100bp	55282361	55282460	0.00037	0.04855	ENSTGUG00000003198	0	intron	DNA-binding protein SATB1	Satb1	+	+	+				+
5	50bp	8736507	8736557	0.00003	0.02284	ENSTGUG00000008025	6765	3'flanking	Myotubularin-related protein 13	SBF2	+	+					+
1A	100bp	64427413	64427522	0.00313	0.04007	ENSTGUG00000012016	0	intron	Signal peptide, CUB and EGF-like domain-containing protein 1	Scube1	+	+				+	+
19	100bp	6732900	6732996	0.00005	0.0283	ENSTGUG00000005737	2297	5'flanking	Alpha-2-antiplasmin	SERPINF2							
19	50bp	6732906	6732990	0.00002	0.02048	ENSTGUG00000005737	2303	5'flanking	Alpha-2-antiplasmin	SERPINF2							
11	50bp	5594830	5594878	0.00061	0.00232	ENSTGUG00000006082	0	intron	Splicing factor 3B subunit 3	SF3B3	+	+					+
1	100bp	96769619	96769716	0.00036	0.03964	ENSTGUG00000013435	724	5'flanking	Vesicle transport protein SFT2B	SFT2D2							
4_random	100bp	4147156	4147248	0.0001	0.04618	ENSTGUG00000015459	0	intron	Sideroflexin-5	SFXN5	+	+					
4_random	50bp	4147166	4147216	0.00001	0.02303	ENSTGUG00000015459	0	intron	Sideroflexin-5	SFXN5	+	+					
1	100bp	14920518	14920622	0.00379	0.02442	ENSTGUG00000007550	0	intron	SH3 domain-containing kinase-binding protein 1	SH3KBP1							
6	100bp	23554149	23554265	0.00017	0.03155	ENSTGUG00000010349	7633	3'flanking	SH3 and PX domain-containing protein 2A	SH3PXD2A	+	+	+				+
4	100bp	32999920	33000012	0.00112	0.0367	ENSTGUG00000006100	7464	5'flanking	E3 ubiquitin-protein ligase SH3RF1	Sh3rf1	+	+		+			
5	50bp	5682368	5682420	0.00372	0.0189	ENSTGUG00000005571	0	intron	SH3 and multiple ankyrin repeat domains protein 2	SHANK2	+	+				+	+
3	100bp	13358360	13358469	0.00066	0.04741	ENSTGUG00000003167	1728	5'flanking	Zinc transporter 1	SLC30A1	+	+					
18	100bp	783698	783789	0.00017	0.04471	ENSTGUG00000002885	7255	3'flanking	Zinc transporter ZIP11	SLC39A11	+	+					+
18	100bp	790704	790798	0.00001	0.03629	ENSTGUG00000002885	246	3'flanking	Zinc transporter ZIP11	SLC39A11	+	+					+
12	100bp	10951762	10951860	0.00034	0.04735	ENSTGUG00000008199	0	intron	Solute carrier family 41 member 1	Slc41a1	+	+					+
2	50bp	152966243	152966293	0.00916	0.04413	ENSTGUG00000012694	0	intron	Solute carrier family 45 member 4	SLC45A4	+	+					+
4A	50bp	14465386	14465466	0.02451	0.03288	ENSTGUG00000004763	1717	3'flanking	SLIT and NTRK-like protein 2	SLITRK2	+	+					
1	100bp	52979779	52979878	0.00105	0.04219	ENSTGUG00000011897	5427	5'flanking	Mothers against decapentaplegic homolog 9	SMAD9	+	+					
4A	50bp	11620868	11620916	0.00004	0.03816	ENSTGUG00000003899	0	intron	Probable global transcription activator SNF2L1	Smarca1	+	+					+
1A	100bp	60386665	60386777	0.00001	0.04827	ENSTGUG00000011749	0	intron	Transcription factor SOX-5	SOX5	+	+	+				+
1A	100bp	60521532	60521621	0.00049	0.04934	ENSTGUG00000011749	0	intron	Transcription factor SOX-5	SOX5	+	+	+				+
1A	50bp	60433818	60433868	0.00023	0.01978	ENSTGUG00000011749	0	intron	Transcription factor SOX-5	SOX5	+	+	+				+
4	50bp	5734746	5734794	0.00007	0.04402	ENSTGUG00000002038	4084	3'flanking	Protein sprouty homolog 1	SPRY1	+	+					
Z	50bp	71892577	71892623	0.00645	0.03955	ENSTGUG00000006949	0	intron	Single-stranded DNA-binding protein 2	SSBP2	+	+	+				+
1A	50bp	61133547	61133599	0.0004	0.04528	ENSTGUG00000011761	0	intron	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase	ST8SIA1	+	+	+				+
Z	50bp	32407070	32407120	0.00078	0.04318	ENSTGUG00000001564	365	5'flanking	Alpha-2,8-sialyltransferase 8E	ST8SIA5	+	+					+
2	100bp	23907528	23907631	0.00007	0.04656	ENSTGUG00000001425	1436	3'flanking	Metalloreductase STEAP1	STEAP1							
17	50bp	9659176	9659226	0.00001	0.01412	ENSTGUG00000006736	0	CDS	Erythrocyte band 7 integral membrane protein	STOM							
12	100bp	15951849	15951958	0.00181	0.02553	ENSTGUG00000009643	0	intron	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial (Fragment)	SUCLG2	+	+					
2	100bp	29889155	29889278	0.00045	0.03824	ENSTGUG00000001761	4991	5'flanking	Sushi domain-containing protein 5	SUSD5							
1A	100bp	52952051	52952138	0.00001	0.0053	ENSTGUG00000010887	0	intron	Synapsin-3	SYN3	+	+					+
1A	50bp	38794457	38794479	0.00703	0.04719	ENSTGUG00000007572	0	intron	Synaptotagmin-1	SYT1	+	+					+
3	50bp	13946493	13946551	0.00025	0.02486	ENSTGUG00000003225	0	intron	Synaptotagmin-14	SYT14	+	+					+
4A	100bp	11804228	11804328	0.00027	0.04188	ENSTGUG00000004032	4385	5'flanking	Synaptotagmin-like protein 2	Sytl2							
4A	50bp	11804278	11804328	0.00347	0.03432	ENSTGUG00000004032	4435	5'flanking	Synaptotagmin-like protein 2	Sytl2							
11	100bp	19218027	19218149	0.00002	0.02149	ENSTGUG00000009520	0	intron	Transcription initiation factor TFIID subunit 4	TAF4	+	+	+				+
11	50bp	19218074	19218122	0.00003	0.02546	ENSTGUG00000009520	0	intron	Transcription initiation factor TFIID subunit 4	TAF4	+	+	+				+
9	100bp	20766411	20766521	0.00002	0.02988	ENSTGUG00000010773	1693	3'flanking	F-box-like/WD repeat-containing protein TBL1XR1	Tbl1xr1	+	+	+				+
9	50bp	20766411	20766471	0.00001	0.02854	ENSTGUG00000010773	1693	3'flanking	F-box-like/WD repeat-containing protein TBL1XR1	Tbl1xr1	+	+	+				+
5_random	50bp	1228784	1228834	0.02179	0.03245	ENSTGUG00000015995	0	intron	Transcriptional enhancer factor TEF-1	TEAD1	+	+					+
8	50bp	10103139	10103190	0.00098	0.04545	ENSTGUG00000005827	0	intron	Trans-2,3-enoyl-CoA reductase	TECR	+	+					
15	50bp	1504258	1504308	0.00244	0.04955	ENSTGUG00000004905	0	intron	Transmembrane protein 132B	TMEM132B							
15	50bp	1077056	1077115	0.0004	0.0349	ENSTGUG00000004861	0	intron	Transmembrane protein 132C	TMEM132C	+	+					
15	50bp	880836	880897	0.00003	0.03745	ENSTGUG00000004813	0	intron	Transmembrane protein 132D	TMEM132D							+
10	100bp	8874699	8874812	0.0008	0.00305	ENSTGUG00000006888	0	intron	Tropomodulin-2	TMOD2	+	+	+				+
1	50bp	3902382	3902432	0.0083	0.04484	ENSTGUG00000005582	0	intron	Transmembrane protease serine 3	Tmprss3							
1	50bp	91725249	91725299	0.00004	0.0461	ENSTGUG00000013369	1124	3'flanking	Tumor necrosis factor receptor superfamily member 1A	TNFRSF1A	+	+				+	+
4	50bp	26314533	26314617	0.00294	0.02963	ENSTGUG00000004835	0	intron	Tankyrase-1	TNKS	+	+			+		
1A	50bp	49727263	49727322	0.00267	0.03419	ENSTGUG00000010138	0	intron	Trinucleotide repeat-containing gene 6B protein	Tnrc6b	+	+	+				+
18	100bp	4738644	4738761	0.00002	0.019	ENSTGUG00000005672	6480	3'flanking	DNA topoisomerase 1	top1	+	+	+				+
18	50bp	4738654	4738704	0.00008	0.0314	ENSTGUG00000005672	6537	3'flanking	DNA topoisomerase 1	top1	+	+	+				+
3	50bp	42094999	42095049	0.0248	0.04895	ENSTGUG00000009874	0	CDS	Tripartite motif-containing protein 67	TRIM67	+	+					
4A	100bp	18388229	18388326	0.00032	0.03085	ENSTGUG00000006117	9243	5'flanking	Short transient receptor potential channel 5	Trpc5	+	+					
2	100bp	141306962	141307062	0.00289	0.04197	ENSTGUG00000012298	0	intron	Zinc finger transcription factor Trps1	TRPS1	+	+				+	
11	50bp	15479003	15479059	0.00014	0.02337	ENSTGUG00000009016	8942	3'flanking	Teashirt homolog 3	TSHZ3	+	+		+			
2	50bp	154125410	154125462	0.00014	0.0299	ENSTGUG00000007991	0	intron	t-SNARE domain-containing protein 1	TSNARE1	+	+	+				+
10	50bp	20117331	20117372	0.00384	0.04897	ENSTGUG00000009720	5173	3'flanking	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA	+	+	+				+
7	50bp	3395417	3395477	0.00001	0.03541	ENSTGUG00000003839	0	intron	NEDD8-conjugating enzyme UBE2F	UBE2F	+	+					+
5	50bp	46196583	46196633	0.00014	0.03309	ENSTGUG00000012625	0	CDS,intron	Protein unc-79 homolog	UNC79							
1	50bp	48880551	48880601	0.00043	0.03419	ENSTGUG00000011564	6430	5'flanking	Ubiquitin carboxyl-terminal hydrolase 12	USP12	+	+					+
12	100bp	6934402	6934487	0.00207	0.02556	ENSTGUG00000006633	0	intron	Ubiquitin carboxyl-terminal hydrolase 4	Usp4	+	+	+				
24	50bp	7157151	7157211	0.00012	0.02724	ENSTGUG00000000734	5935	3'flanking	Ubiquitin carboxyl-terminal hydrolase 42	USP42	+	+					
17	50bp	7983486	7983530	0.00003	0.03102	ENSTGUG00000005682	0	intron	Guanine nucleotide exchange factor VAV2	Vav2	+	+					
17	50bp	8029529	8029571	0.00002	0.02508	ENSTGUG00000005682	0	intron	Guanine nucleotide exchange factor VAV2	Vav2	+	+					
2	50bp	34882224	34882274	0.00001	0.02849	ENSTGUG00000001860	0	intron	Vacuolar protein sorting-associated protein 41 homolog	VPS41	+	+					+
7	50bp	583409	583459	0.00444	0.04758	ENSTGUG00000002893	0	intron	von Willebrand factor C domain-containing protein 2-like	Vwc2l							
19	100bp	3372967	3373072	0.00001	0.01719	ENSTGUG00000003787	0	intron	Williams-Beuren syndrome chromosomal region 16 protein homolog	Wbscr16	+	+					
3	100bp	18311610	18311710	0.00001	0.02935	ENSTGUG00000004059	0	CDS,intron	WD repeat-containing protein 26	WDR26	+	+					+
Z	50bp	56761525	56761575	0.00292	0.0396	ENSTGUG00000003972	0	intron	WD repeat-containing protein 41	WDR41	+	+					
10	50bp	8063226	8063274	0.00408	0.02755	ENSTGUG00000006614	0	intron	WD repeat-containing protein 72	WDR72							
1A	100bp	61882481	61882580	0.00003	0.03696	ENSTGUG00000011806	0	intron	Protein Wnt-7b	WNT7B	+	+					+
13	50bp	14676653	14676732	0.00317	0.02473	ENSTGUG00000001488	0	intron	Protein KIBRA	WWC1	+	+				+	+
1	100bp	19865322	19865426	0.0007	0.02852	ENSTGUG00000008439	0	intron	Protein WWC3	WWC3	+	+					
8_random	100bp	3347587	3347703	0.00011	0.01272	ENSTGUG00000017364	0	intron	Xenotropic and polytropic retrovirus receptor 1	XPR1	+	+			+		+
7	50bp	9040444	9040518	0.01097	0.04782	ENSTGUG00000005014	0	intron	X-ray repair cross-complementing protein 5	Xrcc5	+	+					
3	100bp	29244758	29244852	0.00011	0.03918	ENSTGUG00000007535	0	intron	5'-3' exoribonuclease 2	XRN2	+	+					
3	100bp	29249027	29249208	0.00022	0.02273	ENSTGUG00000007535	0	CDS,intron	5'-3' exoribonuclease 2	XRN2	+	+					
3	50bp	29249077	29249158	0.00003	0.04949	ENSTGUG00000007535	0	CDS,intron	5'-3' exoribonuclease 2	XRN2	+	+					
1A	50bp	28794964	28795052	0.00144	0.03725	ENSTGUG00000005817	0	intron	YY1-associated factor 2	YAF2	+	+					
9	100bp	2394719	2394812	0.00632	0.04527	ENSTGUG00000005529	435	3'flanking	YEATS domain-containing protein 2	YEATS2	+	+	+				
24	100bp	7113996	7114115	0.00008	0.04524	ENSTGUG00000000733	0	intron	Zinc finger and BTB domain-containing protein 44	ZBTB44	+	+			+		
24	50bp	7114026	7114087	0.00074	0.0484	ENSTGUG00000000733	0	intron	Zinc finger and BTB domain-containing protein 44	ZBTB44	+	+			+		
13	50bp	1103744	1103806	0.00248	0.04962	ENSTGUG00000018241	768	3'flanking	Zinc finger CCHC domain-containing protein 10	Zcchc10	+	+					
2	50bp	96922913	96922963	0.00002	0.04751	ENSTGUG00000009118	0	intron	Zinc finger protein 407	ZNF407	+	+	+				
6	50bp	20079018	20079070	0.0058	0.0499	ENSTGUG00000009058	977	3'flanking	Zinc finger protein 518A	ZNF518A	+	+					
8	50bp	12760046	12760096	0.00001	0.04839	ENSTGUG00000006419	0	intron	Box C/D snoRNA protein 1	ZNHIT6	+	+					
																	
8	50bp	12267397	12267447	0.0048	0.04971	ENSTGUG00000006315	0	intron	unknown function	NA							
Z	100bp	71481611	71481716	0.00002	0.03605	ENSTGUG00000006929	0	intron	unknown function	NA							
12	50bp	11330782	11330825	0.00189	0.04875	ENSTGUG00000008334	630	3'flanking	unknown function	NA							
5	50bp	50069661	50069720	0.00026	0.02365	ENSTGUG00000012775	0	intron	unknown function	NA							
4_random	100bp	3942487	3942567	0.00031	0.03907	ENSTGUG00000015420	7954	3'flanking	unknown function	NA							
8_random	50bp	2887844	2887899	0.00112	0.02117	ENSTGUG00000017338	0	intron	unknown function	NA							
20	100bp	12015983	12016092	0.00002	0.04945	ENSTGUG00000018394	8026	3'flanking	unknown function	NA							
20	50bp	12015983	12016060	0.00015	0.00423	ENSTGUG00000018394	8058	3'flanking	unknown function	NA							
